Tarih,Saat,Saat_Tam,Dakika,Cagri_Kat,Asansor_Kat,Hedef_Kat,Kat_Mesafesi,Secilen_Asansor,Bekleme_Saniye,Toplam_Yolcu,Asansor_Durum
2026-03-24,09:31:00,9,31,6,0,-1,6,Asansör 1,0,0,Idle
2026-03-24,00:00:01,0,0,7,0,-1,7,Asansör 2,0,0,Idle
2026-03-24,00:00:02,0,0,8,2,-1,6,Asansör 1,0,0,MovingUp
2026-03-24,00:00:02,0,0,9,2,-1,7,Asansör 1,0,0,MovingUp
2026-03-24,09:31:00,9,31,6,0,-1,6,Asansör 1,8,0,PickedUp
2026-03-24,00:00:01,0,0,7,0,-1,7,Asansör 2,9,0,PickedUp
2026-03-24,00:00:02,0,0,8,2,-1,6,Asansör 1,42,1,PickedUp
2026-03-24,00:00:02,0,0,9,2,-1,7,Asansör 1,49,2,PickedUp
2026-03-24,00:00:02,0,0,8,2,11,3,Asansör 1,58,2,Completed
2026-03-24,00:00:02,0,0,9,2,13,4,Asansör 1,63,1,Completed
2026-03-24,00:01:15,0,1,13,7,0,13,ACİL DURUM - Asansör 1,0,1,Emergency_Triggered_Floor13_Passengers1
2026-03-24,00:01:15,0,1,7,13,0,7,ACİL DURUM - Asansör 2,0,1,Emergency_Triggered_Floor7_Passengers1
2026-03-24,00:01:15,0,1,0,0,0,13,ACİL DURUM - Asansör 1,9,0,Emergency_Completed_Duration9s
2026-03-24,00:01:15,0,1,0,0,0,7,ACİL DURUM - Asansör 2,9,0,Emergency_Completed_Duration9s
2026-03-24,00:01:28,0,1,8,0,-1,8,Asansör 1,0,0,DoorClosing
2026-03-24,00:01:29,0,1,7,1,-1,6,Asansör 1,0,0,MovingUp
2026-03-24,00:01:29,0,1,7,1,-1,6,Asansör 1,8,0,PickedUp
2026-03-24,00:01:28,0,1,8,0,-1,8,Asansör 1,16,1,PickedUp
2026-03-24,00:01:29,0,1,7,1,10,3,Asansör 1,23,1,Completed
2026-03-24,00:01:28,0,1,8,0,14,6,Asansör 1,32,0,Completed
2026-03-24,08:00:00,8,0,6,0,-1,6,Asansör 1,0,0,Idle
2026-03-24,00:00:00,0,0,7,0,-1,7,Asansör 2,0,0,Idle
2026-03-24,08:00:00,8,0,6,0,-1,6,Asansör 1,8,0,PickedUp
2026-03-24,00:00:00,0,0,7,0,-1,7,Asansör 2,9,0,PickedUp
2026-03-24,08:00:00,8,0,6,0,8,2,Asansör 1,18,0,Completed
2026-03-24,00:00:00,0,0,7,0,9,2,Asansör 2,19,0,Completed
2026-03-24,00:00:22,0,0,10,9,-1,1,Asansör 2,0,0,Idle
2026-03-24,00:00:22,0,0,10,9,-1,1,Asansör 2,3,0,PickedUp
